bonus|defPlayer1|defPlayersOnCourt|defTeam|gameEvent|gameId|gameType|isCharge|isPutback|neutralFloor|offPlayer1|offPlayer2|offPlayersOnCourt|offTeam|segment|shotType|shotValue|team0|team1|turnoverType|valueToAdd|violationType|x|y
||1628021,1629645,1630227,1630224,1630528|1610612745|STARTING_LINEUP|1|time|||false|||1627783,1629018,1630551,1629004,1630625|1610612761||||1610612761|1610612745|||||
||1628021,1629645,1630227,1630224,1630528|1610612745|GAME_START|1|time|||false|||1627783,1629018,1630551,1629004,1630625|1610612761||||1610612761|1610612745|||||
||1628021,1629645,1630227,1630224,1630528|1610612745|SEGMENT_START|1|time|||false|||1627783,1629018,1630551,1629004,1630625|1610612761|4|||1610612761|1610612745|||||
|1628021|1628021,1629645,1630227,1630224,1630528|1610612745|JUMP_BALL|1|time|||false|1627783||1627783,1629018,1630551,1629004,1630625|1610612761||||1610612761|1610612745|||||
||1628021,1629645,1630227,1630224,1630528|1610612745|2FG_ATTEMPT|1|time||false|false|1627783||1627783,1629018,1630551,1629004,1630625|1610612761||LONG_MID_RANGE|2|1610612761|1610612745||||135|99
||1628021,1629645,1630227,1630224,1630528|1610612745|2FG_MISS|1|time|||false|1627783||1627783,1629018,1630551,1629004,1630625|1610612761||LONG_MID_RANGE|2|1610612761|1610612745||||135|99
||1628021,1629645,1630227,1630224,1630528|1610612745|OFFENSIVE_REBOUND|1|time|||false|||1627783,1629018,1630551,1629004,1630625|1610612761||||1610612761|1610612745||1|||
||1628021,1629645,1630227,1630224,1630528|1610612745|TURNOVER|1|time|||false|1630625||1627783,1629018,1630551,1629004,1630625|1610612761||||1610612761|1610612745|BAD_PASS_OUT_OF_BOUNDS|1|||
||1627783,1629018,1630551,1629004,1630625|1610612761|3FG_ATTEMPT|1|time||false|false|1628021||1628021,1629645,1630227,1630224,1630528|1610612745||CORNER_3|3|1610612761|1610612745||||-233|57
||1627783,1629018,1630551,1629004,1630625|1610612761|3FG_MADE|1|time||false|false|1628021|1630227|1628021,1629645,1630227,1630224,1630528|1610612745||CORNER_3|3|1610612761|1610612745||3||-233|57
||1628021,1629645,1630227,1630224,1630528|1610612745|2FG_ATTEMPT|1|time||false|false|1629018||1627783,1629018,1630551,1629004,1630625|1610612761||LONG_MID_RANGE|2|1610612761|1610612745||||14|99
||1628021,1629645,1630227,1630224,1630528|1610612745|2FG_MISS|1|time|||false|1629018||1627783,1629018,1630551,1629004,1630625|1610612761||LONG_MID_RANGE|2|1610612761|1610612745||||14|99
|1630528|1628021,1629645,1630227,1630224,1630528|1610612745|DEFENSIVE_REBOUND|1|time|||false|||1627783,1629018,1630551,1629004,1630625|1610612761||||1610612761|1610612745||1|||
||1627783,1629018,1630551,1629004,1630625|1610612761|2FG_ATTEMPT|1|time||false|false|1630224||1628021,1629645,1630227,1630224,1630528|1610612745||SHORT_MID_RANGE|2|1610612761|1610612745||||89|13
||1627783,1629018,1630551,1629004,1630625|1610612761|2FG_MADE|1|time||false|false|1630224|1630227|1628021,1629645,1630227,1630224,1630528|1610612745||SHORT_MID_RANGE|2|1610612761|1610612745||2||89|13
||1628021,1629645,1630227,1630224,1630528|1610612745|TURNOVER|1|time|||false|1629018||1627783,1629018,1630551,1629004,1630625|1610612761||||1610612761|1610612745|BAD_PASS_OUT_OF_BOUNDS|1|||
||1627783,1629018,1630551,1629004,1630625|1610612761|2FG_ATTEMPT|1|time||false|false|1630227||1628021,1629645,1630227,1630224,1630528|1610612745||SHORT_MID_RANGE|2|1610612761|1610612745||||55|32
