active|birthdate|country|draftNumber|draftRound|draftYear|familyName|fromYear|givenName|greatest75|hasPlayedDLeague|hasPlayedGames|hasPlayedNba|height|id|jerseyNumber|playerCode|position|school|seasonsExperience|slug|teamId|toYear|weight
true|1984-12-30T06:00:00.000Z|USA|1|1|2003-01-01T00:00:00.000Z|James|2003-01-01T00:00:00.000Z|LeBron|true|false|true|true|81|2544|6|lebron_james|Forward|St. Vincent-St. Mary HS (OH)|18|lebron-james|1610612747|2021-01-01T00:00:00.000Z|250
true|1984-05-29T05:00:00.000Z|USA|3|1|2003-01-01T00:00:00.000Z|Anthony|2003-01-01T00:00:00.000Z|Carmelo|true|false|true|true|79|2546|7|carmelo_anthony|Forward|Syracuse|18|carmelo-anthony|1610612747|2021-01-01T00:00:00.000Z|238
true|1980-06-09T05:00:00.000Z|USA||||Haslem|2003-01-01T00:00:00.000Z|Udonis|false|false|true|true|80|2617|40|udonis_haslem|Forward|Florida|18|udonis-haslem|1610612748|2021-01-01T00:00:00.000Z|235
true|1985-12-08T06:00:00.000Z|USA|1|1|2004-01-01T00:00:00.000Z|Howard|2004-01-01T00:00:00.000Z|Dwight|false|false|true|true|82|2730|39|dwight_howard|Center-Forward|SW Atlanta Christian Academy (GA)|17|dwight-howard|1610612747|2021-01-01T00:00:00.000Z|265
true|1984-01-28T06:00:00.000Z|USA|9|1|2004-01-01T00:00:00.000Z|Iguodala|2004-01-01T00:00:00.000Z|Andre|false|false|true|true|78|2738|9|andre_iguodala|Guard-Forward|Arizona|17|andre-iguodala|1610612744|2021-01-01T00:00:00.000Z|215
true|1985-06-30T05:00:00.000Z|USA|43|2|2004-01-01T00:00:00.000Z|Ariza|2004-01-01T00:00:00.000Z|Trevor|false|false|true|true|80|2772|1|trevor_ariza|Forward|UCLA|17|trevor-ariza|1610612747|2021-01-01T00:00:00.000Z|215
true|1985-05-06T05:00:00.000Z|USA|4|1|2005-01-01T00:00:00.000Z|Paul|2005-01-01T00:00:00.000Z|Chris|true|false|true|true|72|101108|3|chris_paul|Guard|Wake Forest|16|chris-paul|1610612756|2021-01-01T00:00:00.000Z|175
true|1986-10-27T06:00:00.000Z|USA|45|2|2005-01-01T00:00:00.000Z|Williams|2005-01-01T00:00:00.000Z|Lou|false|true|true|true|74|101150|6|lou_williams|Guard|South Gwinnett HS (GA)|16|lou-williams|1610612737|2021-01-01T00:00:00.000Z|175
true|1985-07-19T05:00:00.000Z|USA|2|1|2006-01-01T00:00:00.000Z|Aldridge|2006-01-01T00:00:00.000Z|LaMarcus|false|false|true|true|83|200746|21|lamarcus_aldridge|Center-Forward|Texas-Austin|15|lamarcus-aldridge|1610612751|2021-01-01T00:00:00.000Z|250
true|1986-08-17T05:00:00.000Z|USA|8|1|2006-01-01T00:00:00.000Z|Gay|2006-01-01T00:00:00.000Z|Rudy|false|false|true|true|80|200752|8|rudy_gay|Forward-Guard|Connecticut|15|rudy-gay|1610612762|2021-01-01T00:00:00.000Z|250
